Ktory instrument stroi muzyk?;tamburyn;kociol;okaryne;czynele;2
Ile to jest 1111 razy 1111, jesli 1 razy 1 to 1, a 11 razy 11 to 121?;12 321;1 234 321;111 111 111;123 434 321;2
Co wedlug Leszka Kolakowskiego jeset sklepieniem domu, w ktorym duch ludzki mieszka?;Rozum;Bog;Milosc;Czas;4
"Watrobka z cebulka (...) jest zakaska doskonala. Aby ja przyrzadzic, nalezy kupic samochod i pedzic nim poty, az sie kogos przejedzie." To Lem i...;"Solaris";"Opowiesci o pilocie Pirxie";"Dyktanda, czyli...";"Szpital przemienienia";3
Ktory ssak sie nie spoci?;Owca;Kon;Czlowiek;Krolik;4
Rozancowa tajemnica chwalebna nie jest...;Wniebowziecie Matki Bozej;Zmartwychwstanie Jezusa;Smierc Jezusa na krzyzu;Zeslanie Ducha Swietego;3
Jedlina, swierczyna i podobne to:;ubierasz;stroisz;ozdabiasz;robisz sie na bostwo;2
Muzyke skomponowana przez Krzysztofa Pendreckiego uslyszymy we wszystkich tych filmach. Ale specjalnie stworzyl ja do:;"Egzorcysty";"Lsnienia";"Wyspy tajemnic";"Rekopisu znalezionego w Saragossie";4
"Kto prosil ruskie" - to poczatek godzacego w sojusze zartu z baru mlecznego. Jak brzmi odpowiedz?;"Leniwe prosily";"Nikt. Same przyszly";"Komorowski z Tuskiem";"Balcerowicz z Buzkiem";2
Ktoremu laureatowi krol Szwecji wreczylby Nagrode Nobla, gdyby ten przybyl do Sztokholmu?;Reymontowi;Walesie;Miloszowi;Szymborskiej;1
x
